condition_str,subj_id,num,type,error,correctmove,latency,omit,oreas,timesincelast,direction,destination,last_distractor_offset,time_since_last_distractor
AD,CD2,43.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-2.0,1614.0,0.0,0.0
AD,CD2,44.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-1257.0,357.0,0.0,0.0
AD,CD2,45.0,0.0,1.0,0.0,215.0,0.0,0.0,490.0,1122.0,1479.0,0.0,0.0
AD,CD2,46.0,1.0,1.0,0.0,175.0,1.0,18.0,40.0,-67.0,792.0,-620.0,40.0
AD,CD2,47.0,1.0,0.0,1.0,225.0,0.0,0.0,1190.0,272.0,1064.0,-687.0,1230.0
AD,CD2,48.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-458.0,1021.0,0.0,0.0
AD,CD2,49.0,1.0,0.0,1.0,221.0,0.0,0.0,841.0,123.0,1187.0,43.0,841.0
AD,CD2,50.0,0.0,0.0,1.0,121.0,0.0,0.0,140.0,-524.0,497.0,0.0,0.0
AD,CD2,51.0,0.0,1.0,0.0,330.0,0.0,0.0,1659.0,635.0,1132.0,0.0,0.0
AD,CD2,52.0,0.0,0.0,1.0,469.0,0.0,0.0,511.0,-534.0,598.0,0.0,0.0
AD,CD2,53.0,0.0,0.0,1.0,6200.0,1.0,15.0,2434.0,124.0,722.0,0.0,0.0
AD,CD2,54.0,0.0,0.0,1.0,5615.0,1.0,15.0,585.0,865.0,1587.0,0.0,0.0
AD,CD2,55.0,0.0,0.0,1.0,4494.0,1.0,15.0,1120.0,-1091.0,496.0,0.0,0.0
AD,CD2,56.0,0.0,0.0,1.0,3689.0,1.0,15.0,806.0,-88.0,408.0,0.0,0.0
AD,CD2,57.0,0.0,0.0,1.0,2124.0,1.0,15.0,1564.0,-154.0,254.0,0.0,0.0
AD,CD2,58.0,0.0,0.0,1.0,0.0,1.0,16.0,1000.0,1382.0,1636.0,0.0,0.0
AD,CD2,59.0,1.0,0.0,1.0,324.0,0.0,0.0,801.0,-102.0,1085.0,-449.0,801.0
AD,CD2,60.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-643.0,993.0,0.0,0.0
AD,CD2,61.0,1.0,0.0,1.0,130.0,0.0,0.0,600.0,88.0,1173.0,92.0,600.0
AD,CD2,62.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,-455.0,538.0,0.0,0.0
AD,CD2,63.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,16.0,554.0,0.0,0.0
AD,CD2,64.0,1.0,0.0,-1.0,0.0,1.0,3.0,0.0,-2.0,1171.0,619.0,644.0
AD,CD2,65.0,0.0,0.0,1.0,1855.0,1.0,15.0,371.0,1079.0,1633.0,0.0,0.0
AD,CD2,66.0,0.0,0.0,1.0,860.0,1.0,15.0,1000.0,-44.0,1589.0,0.0,0.0
AD,CD2,67.0,1.0,0.0,1.0,705.0,0.0,0.0,155.0,-29.0,1142.0,-418.0,155.0
AD,CD2,68.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,-189.0,1400.0,0.0,0.0
AD,CD2,69.0,0.0,0.0,1.0,0.0,1.0,16.0,804.0,-376.0,1024.0,0.0,0.0
AD,CD2,70.0,1.0,0.0,1.0,386.0,0.0,0.0,125.0,-143.0,999.0,118.0,125.0
AD,CD2,71.0,0.0,1.0,0.0,360.0,0.0,0.0,1215.0,627.0,1651.0,0.0,0.0
AD,CD2,72.0,0.0,0.0,1.0,0.0,1.0,16.0,566.0,-687.0,964.0,0.0,0.0
AD,CD2,73.0,1.0,0.0,1.0,391.0,0.0,0.0,665.0,-313.0,686.0,35.0,665.0
AD,CD2,74.0,0.0,0.0,1.0,110.0,0.0,0.0,1200.0,238.0,1202.0,0.0,0.0
AD,CD2,75.0,1.0,0.0,1.0,102.0,0.0,0.0,1710.0,-53.0,633.0,-516.0,1710.0
AD,CD2,76.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,331.0,1533.0,0.0,0.0
AD,CD2,77.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,-382.0,1151.0,0.0,0.0
