subj_id,latency,condition_str
BG,325.0,SD
BG,279.0,AD
BG,300.0,ND
BG,321.0,SD
BG,231.0,AD
BG,241.0,ND
BG,345.0,SD
BG,323.0,AD
BG,395.0,ND
BG,334.0,SD
BG,305.0,AD
BG,241.0,ND
BG,281.0,SD
BG,360.0,AD
BG,279.0,ND
BG,275.0,SD
BG,614.0,AD
BG,256.0,ND
BG,479.0,SD
BG,370.0,AD
BG,256.0,ND
BG,326.0,SD
BG,264.0,AD
BG,311.0,ND
BG,300.0,SD
BG,321.0,AD
BG,219.0,ND
BG,280.0,SD
BG,505.0,AD
BG,145.0,ND
BG,260.0,SD
BG,250.0,AD
BG,270.0,ND
BG,335.0,SD
BG,349.0,AD
BG,151.0,ND
BG,321.0,SD
BG,290.0,AD
BG,245.0,ND
BG,266.0,SD
BG,436.0,AD
BG,264.0,ND
BG,265.0,SD
BG,316.0,AD
BG,260.0,ND
BG,290.0,SD
BG,255.0,AD
BG,371.0,ND
BG,290.0,SD
BG,380.0,AD
BG,460.0,ND
BG,375.0,SD
BG,306.0,AD
BG,305.0,ND
BG,350.0,SD
BG,290.0,AD
BG,136.0,ND
BG,345.0,SD
BG,315.0,AD
BG,286.0,ND
BG,285.0,SD
BG,274.0,AD
BG,346.0,ND
BG,221.0,SD
BG,281.0,AD
BG,299.0,ND
BG,335.0,SD
BG,314.0,AD
BG,225.0,ND
BG,276.0,SD
BG,311.0,AD
BG,300.0,ND
BG,250.0,SD
BG,135.0,AD
BG,279.0,ND
BG,294.0,SD
BG,280.0,AD
BG,256.0,ND
BG,410.0,SD
BG,445.0,AD
BG,311.0,ND
BG,305.0,SD
BG,321.0,AD
BG,275.0,ND
BG,245.0,SD
BG,342.0,AD
BG,219.0,ND
BG,316.0,SD
BG,370.0,AD
CD1,356.0,ND
CD1,310.0,SD
CD1,300.0,AD
CD1,409.0,ND
CD1,326.0,SD
CD1,325.0,AD
CD1,314.0,ND
CD1,305.0,SD
CD1,319.0,AD
CD1,325.0,ND
CD1,355.0,SD
CD1,376.0,AD
CD1,305.0,ND
CD1,376.0,SD
CD1,335.0,AD
CD1,485.0,ND
CD1,475.0,SD
CD1,292.0,AD
CD1,320.0,ND
CD1,360.0,SD
CD1,511.0,AD
CD1,276.0,ND
CD1,289.0,SD
CD1,394.0,AD
CD1,345.0,ND
CD1,280.0,SD
CD1,219.0,AD
CD1,374.0,ND
CD1,265.0,SD
CD1,300.0,AD
CD1,286.0,ND
CD1,336.0,SD
CD1,396.0,AD
CD1,310.0,ND
CD1,311.0,SD
CD1,410.0,AD
CD1,355.0,ND
CD1,231.0,SD
CD1,325.0,AD
CD1,325.0,ND
CD1,381.0,SD
CD1,310.0,AD
CD1,320.0,ND
CD1,345.0,SD
CD1,411.0,AD
CD1,449.0,ND
CD1,270.0,SD
CD1,591.0,AD
CD1,410.0,ND
CD1,285.0,SD
CD1,356.0,AD
CD1,390.0,ND
CD1,435.0,SD
CD1,366.0,AD
CD1,320.0,ND
CD1,355.0,SD
CD1,645.0,AD
CD1,516.0,ND
CD1,345.0,SD
CD1,375.0,AD
CD1,300.0,ND
CD1,436.0,SD
CD1,391.0,AD
CD1,145.0,ND
CD1,344.0,SD
CD1,379.0,AD
CD1,420.0,ND
CD1,305.0,SD
CD1,415.0,AD
CD1,271.0,ND
CD1,365.0,SD
CD1,335.0,AD
CD1,310.0,ND
CD1,310.0,SD
CD1,425.0,AD
CD1,295.0,ND
CD1,285.0,SD
CD1,289.0,AD
CD1,376.0,ND
CD1,350.0,SD
CD1,396.0,AD
CD1,299.0,ND
CD1,365.0,SD
CD1,336.0,AD
CD1,295.0,ND
CD1,305.0,SD
CD1,384.0,AD
CD1,290.0,ND
CD1,415.0,SD
CD1,300.0,AD
CD1,406.0,ND
CD1,326.0,SD
CD1,364.0,AD
CD1,351.0,ND
CD1,355.0,SD
CD1,390.0,AD
CD1,314.0,ND
CD1,360.0,SD
CD1,376.0,AD
CD1,325.0,ND
CD1,289.0,SD
CD1,335.0,AD
CD1,305.0,ND
CD1,280.0,SD
CD1,292.0,AD
CD1,485.0,ND
CD1,370.0,SD
CD1,511.0,AD
CD1,320.0,ND
CD1,265.0,SD
CD1,394.0,AD
CD1,345.0,ND
CD1,300.0,SD
CD1,324.0,AD
CD1,360.0,ND
CD1,325.0,SD
CD1,300.0,AD
CD1,374.0,ND
CD1,285.0,SD
CD1,396.0,AD
CD1,340.0,ND
CD1,231.0,SD
CD1,451.0,AD
CD1,290.0,ND
CD1,381.0,SD
CD1,511.0,AD
CD1,355.0,ND
CD1,285.0,SD
CD1,310.0,AD
CD1,325.0,ND
CD1,341.0,SD
CD1,411.0,AD
EB2,264.0,ND
EB2,356.0,SD
EB2,305.0,AD
EB2,241.0,ND
EB2,381.0,SD
EB2,359.0,AD
EB2,250.0,ND
EB2,390.0,SD
EB2,281.0,AD
EB2,337.0,ND
EB2,370.0,SD
EB2,321.0,AD
EB2,231.0,ND
EB2,470.0,SD
EB2,397.0,AD
EB2,261.0,ND
EB2,345.0,SD
EB2,430.0,AD
EB2,369.0,ND
EB2,515.0,SD
EB2,514.0,AD
EB2,264.0,ND
EB2,345.0,SD
EB2,300.0,AD
EB2,271.0,ND
EB2,316.0,SD
EB2,315.0,AD
EB2,353.0,ND
EB2,330.0,SD
EB2,310.0,AD
EB2,290.0,ND
EB2,305.0,SD
EB2,285.0,AD
EB2,286.0,ND
EB2,421.0,SD
EB2,285.0,AD
EB2,240.0,ND
EB2,390.0,SD
EB2,335.0,AD
EB2,154.0,ND
EB2,326.0,SD
EB2,391.0,AD
EB2,314.0,ND
EB2,430.0,SD
EB2,561.0,AD
EB2,325.0,ND
EB2,321.0,SD
EB2,390.0,AD
EB2,370.0,ND
EB2,320.0,SD
EB2,361.0,AD
EB2,286.0,ND
EB2,360.0,SD
EB2,334.0,AD
EB2,296.0,ND
EB2,375.0,SD
EB2,290.0,AD
EB2,255.0,ND
EB2,300.0,SD
EB2,289.0,AD
EB2,309.0,ND
EB2,325.0,SD
EB2,316.0,AD
EB2,401.0,ND
EB2,385.0,SD
EB2,305.0,AD
EB2,264.0,ND
EB2,411.0,SD
EB2,336.0,AD
EB2,337.0,ND
EB2,348.0,SD
EB2,375.0,AD
EB2,436.0,ND
EB2,381.0,SD
EB2,311.0,AD
EB2,285.0,ND
EB2,340.0,SD
EB2,305.0,AD
EB2,304.0,ND
EB2,320.0,SD
EB2,375.0,AD
EB2,279.0,ND
EB2,395.0,SD
EB2,390.0,AD
EB2,370.0,ND
EB2,365.0,SD
EB2,350.0,AD
EB2,354.0,ND
EB2,315.0,SD
EB2,355.0,AD
EB2,250.0,ND
EB2,390.0,SD
EB2,321.0,AD
EB2,231.0,ND
EB2,470.0,SD
EB2,281.0,AD
EB2,264.0,ND
EB2,345.0,SD
EB2,430.0,AD
EB2,271.0,ND
EB2,316.0,SD
EB2,514.0,AD
EB2,291.0,ND
EB2,360.0,SD
EB2,300.0,AD
EB2,353.0,ND
EB2,330.0,SD
EB2,315.0,AD
